date,N_usable
2021-10-15,34
2021-10-22,34
2021-10-29,33
2021-11-05,35
2021-11-12,31
2021-11-19,36
2021-11-26,36
2021-12-03,34
2021-12-10,37
2021-12-17,36
2021-12-24,41
2021-12-31,40
2022-01-07,42
2022-01-14,41
2022-01-21,42
2022-01-28,42
2022-02-04,44
2022-02-11,42
2022-02-18,37
2022-02-25,40
2022-03-04,40
2022-03-11,42
2022-03-18,40
2022-03-25,41
2022-04-01,42
2022-04-08,44
2022-04-15,37
2022-04-22,41
2022-04-29,40
2022-05-06,41
2022-05-13,39
2022-05-20,43
2022-05-27,37
2022-06-03,37
2022-06-10,40
2022-06-17,45
2022-06-24,47
2022-07-01,44
2022-07-08,44
2022-07-15,41
2022-07-22,42
2022-07-29,41
2022-08-05,40
2022-08-12,37
2022-08-19,38
2022-08-26,37
2022-09-02,37
2022-09-09,37
2022-09-16,38
2022-09-23,36
2022-09-30,37
2022-10-07,35
2022-10-14,35
2022-10-21,34
2022-10-28,36
2022-11-04,34
2022-11-11,34
2022-11-18,34
2022-11-25,35
2022-12-02,34
2022-12-09,33
2022-12-16,32
2022-12-23,38
2022-12-30,36
2023-01-06,32
2023-01-13,38
2023-01-20,41
2023-01-27,36
2023-02-03,30
2023-02-10,35
2023-02-17,34
2023-02-24,39
2023-03-03,37
2023-03-10,36
2023-03-17,35
2023-03-24,40
2023-03-31,33
2023-04-07,28
2023-04-14,28
2023-04-21,28
2023-04-28,28
2023-05-05,30
2023-05-12,29
2023-05-19,31
2023-05-26,30
2023-06-02,31
2023-06-09,28
2023-06-16,29
2023-06-23,30
2023-06-30,31
2023-07-07,32
2023-07-14,31
2023-07-21,34
2023-07-28,32
2023-08-04,31
2023-08-11,32
2023-08-18,35
2023-08-25,33
2023-09-01,40
2023-09-08,31
2023-09-15,33
2023-09-22,34
2023-09-29,33
2023-10-06,32
2023-10-13,33
2023-10-20,31
2023-10-27,32
2023-11-03,29
2023-11-10,31
2023-11-17,34
2023-11-24,31
2023-12-01,30
2023-12-08,31
2023-12-15,34
2023-12-22,33
2023-12-29,32
2024-01-05,35
2024-01-12,36
2024-01-19,34
2024-01-26,33
2024-02-02,29
2024-02-09,32
2024-02-16,39
2024-02-23,34
2024-03-01,34
2024-03-08,32
2024-03-15,37
2024-03-22,35
2024-03-29,35
2024-04-05,32
2024-04-12,32
2024-04-19,42
2024-04-26,41
2024-05-03,44
2024-05-10,44
2024-05-17,42
2024-05-24,44
2024-05-31,43
2024-06-07,41
2024-06-14,45
2024-06-21,37
2024-06-28,39
2024-07-05,34
2024-07-12,43
2024-07-19,37
2024-07-26,38
2024-08-02,44
2024-08-09,35
2024-08-16,32
2024-08-23,33
2024-08-30,35
2024-09-06,39
2024-09-13,43
2024-09-20,39
2024-09-27,39
2024-10-04,38
2024-10-11,34
2024-10-18,35
2024-10-25,28
2024-11-01,27
2024-11-08,34
2024-11-15,33
2024-11-22,27
2024-11-29,41
2024-12-06,29
2024-12-13,31
2024-12-20,41
2024-12-27,33
2025-01-03,33
2025-01-10,32
2025-01-17,39
2025-01-24,33
2025-01-31,34
2025-02-07,38
2025-02-14,34
2025-02-21,36
2025-02-28,33
2025-03-07,35
2025-03-14,36
2025-03-21,36
2025-03-28,38
2025-04-04,39
2025-04-11,36
2025-04-18,38
2025-04-25,35
2025-05-02,40
2025-05-09,37
2025-05-16,38
2025-05-23,39
2025-05-30,61
2025-06-06,61
2025-06-13,61
2025-06-20,58
2025-06-27,59
2025-07-04,61
2025-07-11,61
2025-07-18,60
2025-07-25,59
2025-08-01,61
2025-08-08,58
2025-08-15,59
2025-08-22,59
2025-08-29,61
2025-09-05,61
2025-09-12,61
2025-09-19,61
2025-09-26,61
2025-10-03,61
2025-10-10,60
2025-10-17,62
2025-10-24,61
2025-10-31,60
2025-11-07,59
2025-11-14,61
2025-11-21,61
2025-11-28,61
2025-12-05,59
2025-12-12,63
2025-12-19,60
2025-12-26,60
2026-01-02,62
2026-01-09,62
2026-01-16,62
2026-01-23,60
2026-01-30,60
2026-02-06,61
2026-02-13,61
2026-02-20,58
2026-02-27,56
2026-03-06,61
2026-03-13,63
2026-03-20,60
2026-03-27,61
2026-04-03,61
2026-04-10,61
2026-04-17,61
2026-04-24,61
2026-05-01,59
2026-05-08,61
2026-05-15,60
2026-05-22,61
2026-05-29,60
2026-06-05,61
2026-06-12,60
